ANNO;TRIMESTRE;MES_DEL_TRIMESTRE;ID_EMPRESA;EMPRESA;ID_RED;RED;ID_TIPO_TRAFICO;TIPO_TRAFICO;TRAFICO
2012;1;2;800153993;COMUNICACION CELULAR S A COMCEL S A;3;COMUNICACION CELULAR S A COMCEL S A;1;Tráfico prepago;3235929974
2012;1;2;800153993;COMUNICACION CELULAR S A COMCEL S A;4;COLOMBIA TELECOMUNICACIONES S.A. ESP (TELEFONICA);1;Tráfico prepago;41506059
2012;1;2;800153993;COMUNICACION CELULAR S A COMCEL S A;5;TPBC;1;Tráfico prepago;25176439
2012;1;2;800153993;COMUNICACION CELULAR S A COMCEL S A;1;AVANTEL S.A.S.;2;Tráfico pospago;800292
2012;1;2;800153993;COMUNICACION CELULAR S A COMCEL S A;2;COLOMBIA MOVIL S.A. E.S.P.;2;Tráfico pospago;105589701
2012;1;2;800153993;COMUNICACION CELULAR S A COMCEL S A;3;COMUNICACION CELULAR S A COMCEL S A;2;Tráfico pospago;2709308628
2012;1;2;800153993;COMUNICACION CELULAR S A COMCEL S A;4;COLOMBIA TELECOMUNICACIONES S.A. ESP (TELEFONICA);2;Tráfico pospago;196382695
2012;1;2;800153993;COMUNICACION CELULAR S A COMCEL S A;5;TPBC;2;Tráfico pospago;129357345
2012;1;2;800153993;COMUNICACION CELULAR S A COMCEL S A;6;UFF MOVIL S.A.S.;2;Tráfico pospago;1272106
2012;1;2;800153993;COMUNICACION CELULAR S A COMCEL S A;7;UNE EPM TELECOMUNICACIONES S.A. E.S.P.;2;Tráfico pospago;109990
2012;1;3;800153993;COMUNICACION CELULAR S A COMCEL S A;1;AVANTEL S.A.S.;1;Tráfico prepago;206639
2012;1;3;800153993;COMUNICACION CELULAR S A COMCEL S A;2;COLOMBIA MOVIL S.A. E.S.P.;1;Tráfico prepago;27174615
2012;1;3;800153993;COMUNICACION CELULAR S A COMCEL S A;3;COMUNICACION CELULAR S A COMCEL S A;1;Tráfico prepago;3424450118
2012;1;3;800153993;COMUNICACION CELULAR S A COMCEL S A;4;COLOMBIA TELECOMUNICACIONES S.A. ESP (TELEFONICA);1;Tráfico prepago;44046802
2012;1;3;800153993;COMUNICACION CELULAR S A COMCEL S A;5;TPBC;1;Tráfico prepago;25804030
2012;1;3;800153993;COMUNICACION CELULAR S A COMCEL S A;6;UFF MOVIL S.A.S.;1;Tráfico prepago;61820
2012;1;3;800153993;COMUNICACION CELULAR S A COMCEL S A;7;UNE EPM TELECOMUNICACIONES S.A. E.S.P.;1;Tráfico prepago;5610
2012;1;3;800153993;COMUNICACION CELULAR S A COMCEL S A;1;AVANTEL S.A.S.;2;Tráfico pospago;798155
2012;1;3;800153993;COMUNICACION CELULAR S A COMCEL S A;2;COLOMBIA MOVIL S.A. E.S.P.;2;Tráfico pospago;102416006
2012;1;3;800153993;COMUNICACION CELULAR S A COMCEL S A;3;COMUNICACION CELULAR S A COMCEL S A;2;Tráfico pospago;2628165008
2012;1;3;800153993;COMUNICACION CELULAR S A COMCEL S A;4;COLOMBIA TELECOMUNICACIONES S.A. ESP (TELEFONICA);2;Tráfico pospago;191576808
2012;1;3;800153993;COMUNICACION CELULAR S A COMCEL S A;5;TPBC;2;Tráfico pospago;124206394
2012;1;3;800153993;COMUNICACION CELULAR S A COMCEL S A;6;UFF MOVIL S.A.S.;2;Tráfico pospago;1229288
2012;1;3;800153993;COMUNICACION CELULAR S A COMCEL S A;7;UNE EPM TELECOMUNICACIONES S.A. E.S.P.;2;Tráfico pospago;105238
2012;1;1;830016046;AVANTEL S.A.S;1;AVANTEL S.A.S.;1;Tráfico prepago;53169
2012;1;1;830016046;AVANTEL S.A.S;2;COLOMBIA MOVIL S.A. E.S.P.;1;Tráfico prepago;50985
2012;1;1;830016046;AVANTEL S.A.S;3;COMUNICACION CELULAR S A COMCEL S A;1;Tráfico prepago;500777
2012;1;1;830016046;AVANTEL S.A.S;4;COLOMBIA TELECOMUNICACIONES S.A. ESP (TELEFONICA);1;Tráfico prepago;150672
2012;1;1;830016046;AVANTEL S.A.S;5;TPBC;1;Tráfico prepago;44602
2012;1;1;830016046;AVANTEL S.A.S;6;UFF MOVIL S.A.S.;1;Tráfico prepago;690
2012;1;1;830016046;AVANTEL S.A.S;7;UNE EPM TELECOMUNICACIONES S.A. E.S.P.;1;Tráfico prepago;0
2012;1;1;830016046;AVANTEL S.A.S;1;AVANTEL S.A.S.;2;Tráfico pospago;511065
2012;1;1;830016046;AVANTEL S.A.S;2;COLOMBIA MOVIL S.A. E.S.P.;2;Tráfico pospago;498632
2012;1;1;830016046;AVANTEL S.A.S;3;COMUNICACION CELULAR S A COMCEL S A;2;Tráfico pospago;3275460
2012;1;1;830016046;AVANTEL S.A.S;4;COLOMBIA TELECOMUNICACIONES S.A. ESP (TELEFONICA);2;Tráfico pospago;997106
2012;1;1;830016046;AVANTEL S.A.S;5;TPBC;2;Tráfico pospago;468586
2012;1;1;830016046;AVANTEL S.A.S;6;UFF MOVIL S.A.S.;2;Tráfico pospago;3816
2012;1;1;830016046;AVANTEL S.A.S;7;UNE EPM TELECOMUNICACIONES S.A. E.S.P.;2;Tráfico pospago;0
2012;1;2;830016046;AVANTEL S.A.S;1;AVANTEL S.A.S.;1;Tráfico prepago;57252
2012;1;2;830016046;AVANTEL S.A.S;2;COLOMBIA MOVIL S.A. E.S.P.;1;Tráfico prepago;54493
2012;1;2;830016046;AVANTEL S.A.S;3;COMUNICACION CELULAR S A COMCEL S A;1;Tráfico prepago;508620
2012;1;2;830016046;AVANTEL S.A.S;4;COLOMBIA TELECOMUNICACIONES S.A. ESP (TELEFONICA);1;Tráfico prepago;153121
2012;1;2;830016046;AVANTEL S.A.S;5;TPBC;1;Tráfico prepago;47951
2012;1;2;830016046;AVANTEL S.A.S;6;UFF MOVIL S.A.S.;1;Tráfico prepago;610
2012;1;2;830016046;AVANTEL S.A.S;7;UNE EPM TELECOMUNICACIONES S.A. E.S.P.;1;Tráfico prepago;0
2012;1;2;830016046;AVANTEL S.A.S;1;AVANTEL S.A.S.;2;Tráfico pospago;569047
2012;1;2;830016046;AVANTEL S.A.S;2;COLOMBIA MOVIL S.A. E.S.P.;2;Tráfico pospago;572342
2012;1;2;830016046;AVANTEL S.A.S;3;COMUNICACION CELULAR S A COMCEL S A;2;Tráfico pospago;3486299
2012;1;2;830016046;AVANTEL S.A.S;4;COLOMBIA TELECOMUNICACIONES S.A. ESP (TELEFONICA);2;Tráfico pospago;1128968
2012;1;2;830016046;AVANTEL S.A.S;5;TPBC;2;Tráfico pospago;506840
2012;1;2;830016046;AVANTEL S.A.S;6;UFF MOVIL S.A.S.;2;Tráfico pospago;3241
2012;1;2;830016046;AVANTEL S.A.S;7;UNE EPM TELECOMUNICACIONES S.A. E.S.P.;2;Tráfico pospago;0
2012;1;3;830016046;AVANTEL S.A.S;1;AVANTEL S.A.S.;1;Tráfico prepago;58548
2012;1;3;830016046;AVANTEL S.A.S;2;COLOMBIA MOVIL S.A. E.S.P.;1;Tráfico prepago;56659
2012;1;3;830016046;AVANTEL S.A.S;3;COMUNICACION CELULAR S A COMCEL S A;1;Tráfico prepago;529784
2012;1;3;830016046;AVANTEL S.A.S;4;COLOMBIA TELECOMUNICACIONES S.A. ESP (TELEFONICA);1;Tráfico prepago;165861
2012;1;3;830016046;AVANTEL S.A.S;5;TPBC;1;Tráfico prepago;48870
2012;1;3;830016046;AVANTEL S.A.S;6;UFF MOVIL S.A.S.;1;Tráfico prepago;736
2012;1;3;830016046;AVANTEL S.A.S;7;UNE EPM TELECOMUNICACIONES S.A. E.S.P.;1;Tráfico prepago;0
2012;1;3;830016046;AVANTEL S.A.S;1;AVANTEL S.A.S.;2;Tráfico pospago;701227
2012;1;3;830016046;AVANTEL S.A.S;2;COLOMBIA MOVIL S.A. E.S.P.;2;Tráfico pospago;618108
2012;1;3;830016046;AVANTEL S.A.S;3;COMUNICACION CELULAR S A COMCEL S A;2;Tráfico pospago;3793011
2012;1;3;830016046;AVANTEL S.A.S;4;COLOMBIA TELECOMUNICACIONES S.A. ESP (TELEFONICA);2;Tráfico pospago;1209529
2012;1;3;830016046;AVANTEL S.A.S;5;TPBC;2;Tráfico pospago;551803
2012;1;3;830016046;AVANTEL S.A.S;6;UFF MOVIL S.A.S.;2;Tráfico pospago;4424
2012;1;3;830016046;AVANTEL S.A.S;7;UNE EPM TELECOMUNICACIONES S.A. E.S.P.;2;Tráfico pospago;0
2012;1;1;830037330;TELEFONICA MOVILES COLOMBIA S.A.;1;AVANTEL S.A.S.;1;Tráfico prepago;22746
2012;1;1;830037330;TELEFONICA MOVILES COLOMBIA S.A.;2;COLOMBIA MOVIL S.A. E.S.P.;1;Tráfico prepago;5072331
2012;1;1;830037330;TELEFONICA MOVILES COLOMBIA S.A.;3;COMUNICACION CELULAR S A COMCEL S A;1;Tráfico prepago;30484364
2012;1;1;830037330;TELEFONICA MOVILES COLOMBIA S.A.;4;COLOMBIA TELECOMUNICACIONES S.A. ESP (TELEFONICA);1;Tráfico prepago;307421834
2012;1;1;830037330;TELEFONICA MOVILES COLOMBIA S.A.;5;TPBC;1;Tráfico prepago;2637774
2012;1;1;830037330;TELEFONICA MOVILES COLOMBIA S.A.;1;AVANTEL S.A.S.;2;Tráfico pospago;316763
2012;1;1;830037330;TELEFONICA MOVILES COLOMBIA S.A.;2;COLOMBIA MOVIL S.A. E.S.P.;2;Tráfico pospago;50744625
2012;1;1;830037330;TELEFONICA MOVILES COLOMBIA S.A.;3;COMUNICACION CELULAR S A COMCEL S A;2;Tráfico pospago;267797122
2012;1;1;830037330;TELEFONICA MOVILES COLOMBIA S.A.;4;COLOMBIA TELECOMUNICACIONES S.A. ESP (TELEFONICA);2;Tráfico pospago;751748860
2012;1;1;830037330;TELEFONICA MOVILES COLOMBIA S.A.;5;TPBC;2;Tráfico pospago;50203105
2012;1;2;830037330;TELEFONICA MOVILES COLOMBIA S.A.;1;AVANTEL S.A.S.;1;Tráfico prepago;22315
2012;1;2;830037330;TELEFONICA MOVILES COLOMBIA S.A.;2;COLOMBIA MOVIL S.A. E.S.P.;1;Tráfico prepago;4619892
2012;1;2;830037330;TELEFONICA MOVILES COLOMBIA S.A.;3;COMUNICACION CELULAR S A COMCEL S A;1;Tráfico prepago;26815304
2012;1;2;830037330;TELEFONICA MOVILES COLOMBIA S.A.;4;COLOMBIA TELECOMUNICACIONES S.A. ESP (TELEFONICA);1;Tráfico prepago;319288809
2012;1;2;830037330;TELEFONICA MOVILES COLOMBIA S.A.;5;TPBC;1;Tráfico prepago;2389367
2012;1;2;830037330;TELEFONICA MOVILES COLOMBIA S.A.;1;AVANTEL S.A.S.;2;Tráfico pospago;360515
2012;1;2;830037330;TELEFONICA MOVILES COLOMBIA S.A.;2;COLOMBIA MOVIL S.A. E.S.P.;2;Tráfico pospago;49773314
2012;1;2;830037330;TELEFONICA MOVILES COLOMBIA S.A.;3;COMUNICACION CELULAR S A COMCEL S A;2;Tráfico pospago;262859569
2012;1;2;830037330;TELEFONICA MOVILES COLOMBIA S.A.;4;COLOMBIA TELECOMUNICACIONES S.A. ESP (TELEFONICA);2;Tráfico pospago;741853583
2012;1;2;830037330;TELEFONICA MOVILES COLOMBIA S.A.;5;TPBC;2;Tráfico pospago;49637387
2012;1;3;830037330;TELEFONICA MOVILES COLOMBIA S.A.;1;AVANTEL S.A.S.;1;Tráfico prepago;24046
2012;1;3;830037330;TELEFONICA MOVILES COLOMBIA S.A.;2;COLOMBIA MOVIL S.A. E.S.P.;1;Tráfico prepago;4842852
2012;1;3;830037330;TELEFONICA MOVILES COLOMBIA S.A.;3;COMUNICACION CELULAR S A COMCEL S A;1;Tráfico prepago;28686102
2012;1;3;830037330;TELEFONICA MOVILES COLOMBIA S.A.;4;COLOMBIA TELECOMUNICACIONES S.A. ESP (TELEFONICA);1;Tráfico prepago;325087000
2012;1;3;830037330;TELEFONICA MOVILES COLOMBIA S.A.;5;TPBC;1;Tráfico prepago;2501000
2012;1;3;830037330;TELEFONICA MOVILES COLOMBIA S.A.;1;AVANTEL S.A.S.;2;Tráfico pospago;403615
2012;1;3;830037330;TELEFONICA MOVILES COLOMBIA S.A.;2;COLOMBIA MOVIL S.A. E.S.P.;2;Tráfico pospago;55687573
2012;1;3;830037330;TELEFONICA MOVILES COLOMBIA S.A.;3;COMUNICACION CELULAR S A COMCEL S A;2;Tráfico pospago;293736812
2012;1;3;830037330;TELEFONICA MOVILES COLOMBIA S.A.;4;COLOMBIA TELECOMUNICACIONES S.A. ESP (TELEFONICA);2;Tráfico pospago;810695000
2012;1;3;830037330;TELEFONICA MOVILES COLOMBIA S.A.;5;TPBC;2;Tráfico pospago;53819000
2012;1;1;830114921;COLOMBIA MOVIL  S.A ESP;1;AVANTEL S.A.S.;1;Tráfico prepago;34660
2012;1;1;830114921;COLOMBIA MOVIL  S.A ESP;2;COLOMBIA MOVIL S.A. E.S.P.;1;Tráfico prepago;401302582
2012;1;1;830114921;COLOMBIA MOVIL  S.A ESP;3;COMUNICACION CELULAR S A COMCEL S A;1;Tráfico prepago;59648736
2012;1;1;830114921;COLOMBIA MOVIL  S.A ESP;4;COLOMBIA TELECOMUNICACIONES S.A. ESP (TELEFONICA);1;Tráfico prepago;16870928
2012;1;1;830114921;COLOMBIA MOVIL  S.A ESP;5;TPBC;1;Tráfico prepago;7109211
2012;1;1;830114921;COLOMBIA MOVIL  S.A ESP;6;UFF MOVIL S.A.S.;1;Tráfico prepago;349465
2012;1;1;830114921;COLOMBIA MOVIL  S.A ESP;1;AVANTEL S.A.S.;2;Tráfico pospago;64465
2012;1;1;830114921;COLOMBIA MOVIL  S.A ESP;2;COLOMBIA MOVIL S.A. E.S.P.;2;Tráfico pospago;306420095
2012;1;1;830114921;COLOMBIA MOVIL  S.A ESP;3;COMUNICACION CELULAR S A COMCEL S A;2;Tráfico pospago;60927905
2012;1;1;830114921;COLOMBIA MOVIL  S.A ESP;4;COLOMBIA TELECOMUNICACIONES S.A. ESP (TELEFONICA);2;Tráfico pospago;21426062
2012;1;1;830114921;COLOMBIA MOVIL  S.A ESP;5;TPBC;2;Tráfico pospago;9655514
2012;1;1;830114921;COLOMBIA MOVIL  S.A ESP;6;UFF MOVIL S.A.S.;2;Tráfico pospago;271819
2012;1;2;830114921;COLOMBIA MOVIL  S.A ESP;1;AVANTEL S.A.S.;1;Tráfico prepago;39701
2012;1;2;830114921;COLOMBIA MOVIL  S.A ESP;2;COLOMBIA MOVIL S.A. E.S.P.;1;Tráfico prepago;380360012
2012;1;2;830114921;COLOMBIA MOVIL  S.A ESP;3;COMUNICACION CELULAR S A COMCEL S A;1;Tráfico prepago;56406546
2012;1;2;830114921;COLOMBIA MOVIL  S.A ESP;4;COLOMBIA TELECOMUNICACIONES S.A. ESP (TELEFONICA);1;Tráfico prepago;15867931
2012;1;2;830114921;COLOMBIA MOVIL  S.A ESP;5;TPBC;1;Tráfico prepago;6667647
2012;1;2;830114921;COLOMBIA MOVIL  S.A ESP;6;UFF MOVIL S.A.S.;1;Tráfico prepago;333666
2012;1;2;830114921;COLOMBIA MOVIL  S.A ESP;1;AVANTEL S.A.S.;2;Tráfico pospago;76195
2012;1;2;830114921;COLOMBIA MOVIL  S.A ESP;2;COLOMBIA MOVIL S.A. E.S.P.;2;Tráfico pospago;297346061
2012;1;2;830114921;COLOMBIA MOVIL  S.A ESP;3;COMUNICACION CELULAR S A COMCEL S A;2;Tráfico pospago;61596036
2012;1;2;830114921;COLOMBIA MOVIL  S.A ESP;4;COLOMBIA TELECOMUNICACIONES S.A. ESP (TELEFONICA);2;Tráfico pospago;21716423
2012;1;2;830114921;COLOMBIA MOVIL  S.A ESP;5;TPBC;2;Tráfico pospago;9604558
2012;1;2;830114921;COLOMBIA MOVIL  S.A ESP;6;UFF MOVIL S.A.S.;2;Tráfico pospago;258608
2012;1;3;830114921;COLOMBIA MOVIL  S.A ESP;1;AVANTEL S.A.S.;1;Tráfico prepago;41527
2012;1;3;830114921;COLOMBIA MOVIL  S.A ESP;2;COLOMBIA MOVIL S.A. E.S.P.;1;Tráfico prepago;401729906
2012;1;3;830114921;COLOMBIA MOVIL  S.A ESP;3;COMUNICACION CELULAR S A COMCEL S A;1;Tráfico prepago;57392440
2012;1;3;830114921;COLOMBIA MOVIL  S.A ESP;4;COLOMBIA TELECOMUNICACIONES S.A. ESP (TELEFONICA);1;Tráfico prepago;16168857
2012;1;3;830114921;COLOMBIA MOVIL  S.A ESP;5;TPBC;1;Tráfico prepago;6920888
2012;1;3;830114921;COLOMBIA MOVIL  S.A ESP;6;UFF MOVIL S.A.S.;1;Tráfico prepago;370765
2012;1;3;830114921;COLOMBIA MOVIL  S.A ESP;1;AVANTEL S.A.S.;2;Tráfico pospago;84800
2012;1;3;830114921;COLOMBIA MOVIL  S.A ESP;2;COLOMBIA MOVIL S.A. E.S.P.;2;Tráfico pospago;318462261
2012;1;3;830114921;COLOMBIA MOVIL  S.A ESP;3;COMUNICACION CELULAR S A COMCEL S A;2;Tráfico pospago;68690940
2012;1;3;830114921;COLOMBIA MOVIL  S.A ESP;4;COLOMBIA TELECOMUNICACIONES S.A. ESP (TELEFONICA);2;Tráfico pospago;24424272
2012;1;3;830114921;COLOMBIA MOVIL  S.A ESP;5;TPBC;2;Tráfico pospago;10640617
2012;1;3;830114921;COLOMBIA MOVIL  S.A ESP;6;UFF MOVIL S.A.S.;2;Tráfico pospago;307056
2012;1;1;900092385;UNE EPM TELECOMUNICACIONES S.A.;7;UNE EPM TELECOMUNICACIONES S.A. E.S.P.;1;Tráfico prepago;327764
2012;1;2;900092385;UNE EPM TELECOMUNICACIONES S.A.;7;UNE EPM TELECOMUNICACIONES S.A. E.S.P.;1;Tráfico prepago;268241
2012;1;3;900092385;UNE EPM TELECOMUNICACIONES S.A.;7;UNE EPM TELECOMUNICACIONES S.A. E.S.P.;1;Tráfico prepago;261460
2012;1;1;900367669;UFF MOVIL SAS;1;AVANTEL S.A.S.;1;Tráfico prepago;1248
2012;1;1;900367669;UFF MOVIL SAS;2;COLOMBIA MOVIL S.A. E.S.P.;1;Tráfico prepago;603506
2012;1;1;900367669;UFF MOVIL SAS;3;COMUNICACION CELULAR S A COMCEL S A;1;Tráfico prepago;1711453
2012;1;1;900367669;UFF MOVIL SAS;4;COLOMBIA TELECOMUNICACIONES S.A. ESP (TELEFONICA);1;Tráfico prepago;625363
2012;1;1;900367669;UFF MOVIL SAS;5;TPBC;1;Tráfico prepago;245836
2012;1;1;900367669;UFF MOVIL SAS;6;UFF MOVIL S.A.S.;1;Tráfico prepago;331024
2012;1;2;900367669;UFF MOVIL SAS;1;AVANTEL S.A.S.;1;Tráfico prepago;1788
2012;1;2;900367669;UFF MOVIL SAS;2;COLOMBIA MOVIL S.A. E.S.P.;1;Tráfico prepago;566215
2012;1;2;900367669;UFF MOVIL SAS;3;COMUNICACION CELULAR S A COMCEL S A;1;Tráfico prepago;1571405
2012;1;2;900367669;UFF MOVIL SAS;4;COLOMBIA TELECOMUNICACIONES S.A. ESP (TELEFONICA);1;Tráfico prepago;561492
2012;1;2;900367669;UFF MOVIL SAS;5;TPBC;1;Tráfico prepago;223644
2012;1;2;900367669;UFF MOVIL SAS;6;UFF MOVIL S.A.S.;1;Tráfico prepago;303380
2012;1;3;900367669;UFF MOVIL SAS;1;AVANTEL S.A.S.;1;Tráfico prepago;1950
2012;1;3;900367669;UFF MOVIL SAS;2;COLOMBIA MOVIL S.A. E.S.P.;1;Tráfico prepago;669054
2012;1;3;900367669;UFF MOVIL SAS;3;COMUNICACION CELULAR S A COMCEL S A;1;Tráfico prepago;1748758
2012;1;3;900367669;UFF MOVIL SAS;4;COLOMBIA TELECOMUNICACIONES S.A. ESP (TELEFONICA);1;Tráfico prepago;623894
2012;1;3;900367669;UFF MOVIL SAS;5;TPBC;1;Tráfico prepago;251409
2012;1;3;900367669;UFF MOVIL SAS;6;UFF MOVIL S.A.S.;1;Tráfico prepago;353285
2012;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;1;AVANTEL S.A.S.;1;Tráfico prepago;193390
2012;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;2;COLOMBIA MOVIL S.A. E.S.P.;1;Tráfico prepago;26083958
2012;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;3;COMUNICACION CELULAR S A COMCEL S A;1;Tráfico prepago;3281361110
2012;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;4;COLOMBIA TELECOMUNICACIONES S.A. ESP (TELEFONICA);1;Tráfico prepago;42152950
2012;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;5;TPBC;1;Tráfico prepago;24593890
2012;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;6;UFF MOVIL S.A.S.;1;Tráfico prepago;61460
2012;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;7;UNE EPM TELECOMUNICACIONES S.A. E.S.P.;1;Tráfico prepago;5218
2012;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;8;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP.;1;Tráfico prepago;2
2012;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;1;AVANTEL S.A.S.;2;Tráfico pospago;821524
2012;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;2;COLOMBIA MOVIL S.A. E.S.P.;2;Tráfico pospago;105160685
2012;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;3;COMUNICACION CELULAR S A COMCEL S A;2;Tráfico pospago;2668144169
2012;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;4;COLOMBIA TELECOMUNICACIONES S.A. ESP (TELEFONICA);2;Tráfico pospago;197011702
2012;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;5;TPBC;2;Tráfico pospago;124358202
2012;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;6;UFF MOVIL S.A.S.;2;Tráfico pospago;1315250
2012;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;7;UNE EPM TELECOMUNICACIONES S.A. E.S.P.;2;Tráfico pospago;107702
2012;2;1;800153993;COMUNICACION CELULAR S A COMCEL S A;8;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP.;2;Tráfico pospago;487
