AÑO,TRIMESTRE,PROVEEDOR,No. ACCESOS FIJOS A INTERNET,PARTICIPACIÓN
2023,2,DANHER REDES Y SERVICIOS S.A.S.,687,"0,01"
2022,1,SINURED SOLUCIONES S.A.S.,450,"0,01"
2021,2,CAMPOCOM SAS,216,0
2022,1,IPCOM SISTEMAS S.A.S,362,0
2023,2,CORPORACION ANTENA PARABOLICA BARRIO EL SALVADOR,75,0
2021,1,MAZCSYSTEM COMUNICACIONES SAS,131,0
2022,3,GLOBAL CONNECTION TICS TICS S.A.S,4,0
2021,3,WIFAO COLOMBIA S.A.S.,309,0
2021,3,AT�T GLOBAL NETWORK SERVICES COLOMBIA LTDA.,7,0
2021,4,C&C WIFI SAS,382,0
2022,2,ACTIVATE.WEB S.A.S,95,0
2020,4,FUNDACION VISION 20/20 COLOMBIA,77,0
2021,3,EMPRESA PRESTADORA DE SERVICIOS DE INTERNET Y TELEVISION SUR DE BOLIVAR S.A.S.,674,"0,01"
2021,4,WISP INTEGRADORES S.A.S,125,0
2020,4,RADIOSAT ISP SAS,2,0
2021,3,CABLE NET UNIVERSAT S.A.S,1050,"0,01"
2022,1,CORPORACION ANTENA PARABOLICA GALAXIA EL PE�OL,4320,"0,05"
2023,2,DIALNET DE COLOMBIA S.A   ESP.,65832,"0,73"
2021,3,CORPORACION ANTENA PARABOLICA BARRIO EL SALVADOR,32,0
2021,1,CABLENET PLUS S.A.S. ZOMAC,1708,"0,02"
2021,4,GARDEN TECHNOLOGY SAS,7267,"0,08"
2022,3,REDESMAS.NET S.A.S,534,"0,01"
2021,3,SERVISKYNET TELECOMUNICACIONES S.A.S.,89,0
2020,3,TV AZTECA SUCURSAL COLOMBIA,439,0
2023,2,INTER LAN COMUNICACIONES S.A.S,121,0
2021,1,REINA CONEXION S.A.S.,18,0
2020,4,CABLE NET UNIVERSAT S.A.S,1086,"0,01"
2021,1,TEXEL GROUP S.A.S.,8,0
2020,3,CORPORACION CIVICA PROGRESAR,565,"0,01"
2022,3,ASOCIACION COMUNITARIA ANTENA PARABOLICA SAN VICENTE,351,0
2021,4,DIGITVNET S.A.S,2700,"0,03"
2021,4,REDES.COM INTERNET BANDA ANCHA S.A.S,399,0
2021,1,REDNET GROUP S.A.S,1381,"0,02"
2021,4,FACIL COMUNICACIONES SAS,355,0
2020,4,SOLUCIONES INTEGRALES EN TECNOLOGIA Y SEGURIDAD COMPUSEG S.A.S,540,"0,01"
2022,1,CABLE GUAJIRA LTDA,110,0
2022,1,JERSAL TELECOMUNICACIONES S.A.S,392,0
2022,1,ALK NET LTDA,2462,"0,03"
2022,2,SERVICONECTION SAS,569,"0,01"
2021,4,AMERICANA DE TECNOLOGIA Y COMUNICACIONES SAS,4617,"0,05"
2022,3,CABLE SAS,2161,"0,02"
2020,3,ALFASURT TV CABLE SAS.,1494,"0,02"
2021,4,SERVICIOS DE CONECTIVIDAD S.A.S.,140,0
2021,4,PEDRO ALBERTO DELGADO REYES E.U.,409,0
2021,3,ZABUD TECHNOLOGIES S.A.S,1185,"0,01"
2021,2,INTERNET FLASHNET S.A.S.,49,0
2022,2,DANHER REDES Y SERVICIOS S.A.S.,973,"0,01"
2023,2,CONECTATE COMUNICACIONES DEL PACIFICO S.A.S,21,0
2022,1,INTERCOL WISP S.A.S.,1736,"0,02"
2021,3,SERVICTEK S.A.S,94,0
2021,2,TIERRANET S.A.S.,1018,"0,01"
2021,2,SISTEMAS Y TELECOMUNICACIONES DEL CARIBE S.A.S,152,0
2021,4,ATM COMUNICACIONES SAS,65,0
2022,1,INTERMAX INTERNET INALAMBRICO S.A.S,100,0
2022,2,FLASHNET COMUNICACIONES S.A.S.,107,0
2021,3,ISANET TELECOMUNICACIONES SAS,3,0
2022,2,TECNOLOGIAS MERCATECH S.A.S,829,"0,01"
2020,4,CLICK-CONECTIVIDAD SIN FRONTERAS S.A.S,951,"0,01"
2022,3,INTERNEXT COLOMBIA SAS,855,"0,01"
2022,2,TELECOMUNICACIONES FACILRED FJM S.A.S. ZOMAC,384,0
2021,3,RIS TELECOMUNICACIONES RED INALAMBRICA SATELITAL SAS,35,0
2023,2,M&M COMUNICACIONES SAS,13,0
2023,2,REDESMAS.NET S.A.S,129,0
2021,4,PLUSNET SOLUCIONES TECNOLOGICAS S.A.S.,7,0
2021,4,NEIA SAS,309,0
2021,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,690473,"8,14"
2022,1,SECO S.A.S.,451,"0,01"
2022,1,CABLE SAS,1467,"0,01"
2020,3,CODISERT S.A.,11338,"0,15"
2023,2,MAXCOMUNICACIONES S.A.S,41,0
2021,3,ACERONETTV SOCIEDAD POR ACCIONES SIMPLIFICADA,217,0
2022,2,NOVARED T&S SAS,8,0
2021,2,INALREDES SAS,702,"0,01"
2022,1,PRODITEL SAS,380,0
2022,2,INTERNET Y TELEVISI�N DE COLOMBIA SOCIEDAD POR ACCIONES SIMPLIFICADA,1593,"0,02"
2022,3,INTERLOOP S.A.S,353,0
2020,3,FIBERTEC CONEXION S.A.S,269,0
2020,3,PROMOTORA DE TELEVISION. INTERNET Y COMUNICACIONES SAS,1712,"0,02"
2020,4,SERVICIOS SMAI GROUP S.A.S.,941,"0,01"
2022,3,TELECOMUNICACIONES E INTERNET DE COLOMBIA SAS,571,0
2021,3,P & B COMUNICACIONES S.A.S.,53,0
2021,3,SUNNOVA SAS,920,"0,01"
2021,4,VIP SERVICIOS INTELIGENTES S.A.S,188,0
2022,1,BITS PLAY S.A.S.,342,0
2022,2,SYSTEMS AND COMMUNICATIONS S.A.S. - SYSCOM TECNOLOGIA S.A.S.,868,"0,01"
2021,3,MERNAHF SAS,233,0
2021,3,INTERCONECTY ISP S.A.S,250,0
2022,2,SIMPLE COMUNICACIONES SAS,2678,"0,03"
2022,2,RADIO FRECUENCIA COMUNICACIONES S A S,797,"0,01"
2023,2,DESARROLLOS Y REDES S.A.S.,2054,"0,02"
2021,3,MIRAVISION S.A.S,1776,"0,02"
2021,4,REGIONAL DE SERVICIOS DE TELECOMUNICACIONES ZOMAC S.A.S,1126,"0,01"
2020,4,REDESMAS.NET S.A.S,572,"0,01"
2021,2,CONEXION WISP S.A.S,121,0
2023,2,SOPORTEC SOCIEDAD POR ACCIONES SIMPLIFICADA,2,0
2023,2,REAL INNOVACION EN EL DESARROLLO TECNICO BARRANCABERMEJA SANTANDER S.A.S,247,0
2023,2,CELLVOZ COLOMBIA SERVICIOS INTEGRALES S A E S P,7052,"0,08"
2023,2,ASOCIACION COMUNITARIA ANTENA PARABOLICA BAJO TIGUI,27,0
2021,2,DSC TELECOMUNICACIONES S.A.S,51,0
2021,3,TV SANV SAS,16771,"0,2"
2020,4,RED PLANET TELECOMUNICACIONES SAS,1533,"0,02"
2021,2,TELECOMUNICACIONES E INTERNET DE COLOMBIA SAS,392,0
2020,3,INTERPROJECT COMUNICACIONES S.A.S.,53,0
2022,1,JHS INTERNET S.A.S,955,"0,01"
2021,3,INTERED COLOMBIA S.A.S,561,"0,01"
2022,3,OK COMUNICACIONES SERVICIOS DE INGENIERIA Y REDES SAS,30,0
2021,2,COMPA�IA LATINOAMERICANA DE SOFTWARE SAS - LASC SAS,1810,"0,02"
2022,2,ZABUD TECHNOLOGIES S.A.S,664,"0,01"
2020,4,SINURED SOLUCIONES S.A.S.,416,"0,01"
2021,3,INTERCONEXIONES & COMUNICACIONES SAS,605,"0,01"
2021,4,INVERSIONES BEDOYA RAMIREZ S.A.S.,56,0
2020,4,LEGON TELECOMUNICACIONES S.A.S.,43969,"0,57"
2021,1,GTEL TELECOMUNICACIONES S.A.S.,874,"0,01"
2021,1,MERCANET SAS,79,0
2022,3,SERVIYA.NET S.A.S,817,"0,01"
2020,3,INGENIERIA GPON TV S.A.S,73,0
2022,3,TURBOMAX TELECOMUNICACIONES S.A.S.,391,0
2023,2,FIBRANET SAS,1059,"0,01"
2020,4,ISANET TELECOMUNICACIONES SAS,1,0
2021,2,SYSTEL COMUNICACIONES CARTAGO S.A.S.,2749,"0,03"
2020,4,INTERGALAXIA SOCIEDAD POR ACCIONES SIMPLIFICADA,389,0
2021,1,COMPA�IA INTEGRAL DE RECURSOS EN TELECOMUNICACIONES SAS,131,0
2020,4,SERVIRED 3D SAS,115,0
2020,3,REDES TV SAT S.A.S,526,"0,01"
2022,1,NET&COM LTDA.,228,0
2020,4,TEVECOM SAS,300,0
2020,3,INTER T.V. S.A.S,655,"0,01"
2021,1,CABLE EXITO SAS,4760,"0,06"
2021,2,VERIZON COLOMBIA S.A. - VERIZON BUSINESS,22,0
2021,2,EMPRESA DE TELECOMUNICACIONES DE PALMIRA ETP S.A.S.,494,"0,01"
2021,2,ON-LINE INGENIERIA S.A.S,176,0
2023,2,SPACE COMUNICACIONES S.A.S.,2508,"0,03"
2021,1,IP RED LTDA.,503,0
2020,3,CABLEMAS S.A.S,6063,"0,08"
2021,4,SISTELINTER S.A.S,92,0
2022,2,REDNET GROUP S.A.S,1616,"0,02"
2022,3,MEG@NET TVCOMUNICACIONES S.A.S,936,"0,01"
2020,4,COLOMBIACOM SAS,3,0
2021,3,INTERNORTE DIGITAL S.A.S.,391,0
2020,4,FASTNET INTERNET PARA TODOS S.A.S,277,0
2021,1,FORERO & CIA COMUNICACIONES S.A.S.,2049,"0,03"
