AÑO,TRIMESTRE,PROVEEDOR,No. ACCESOS FIJOS A INTERNET,PARTICIPACIÓN
2022,3,ASOCIACI�N COMUNITARIA ALFATV,80,0
2021,2,WIRELESS COMMUNICATIONS COLOMBIA S.A.S. - WIRLCOMM S.A.S.,382,0
2022,1,INZANET SAS,1727,"0,02"
2021,2,ASOCIACION CIVICA ANTENA PARABOLICA AGUADAS,854,"0,01"
2021,4,S.I.G.I - SISTEMA INTEGRAL DE GESTION INFORMATICA S.A.S.,16,0
2023,2,COMUNICACIONES SISTEMATIZADAS DEL META SAS,1434,"0,02"
2022,3,ENTRE RED CONECTANDO EXPERIENCIAS S.A.S,380,0
2021,3,ISP FIBRA NET S.A.S.,76,0
2022,1,INTERNET AL CAMPO S.A.S.,389,0
2021,1,CONECTA2 COLOMBIA S.A.S.,55,0
2021,1,SERVICIOS SMAI GROUP S.A.S.,1337,"0,02"
2022,1,RED-DOOPLER SAS,289,0
2021,1,GLOBAL WEB1 S.A.S,203,0
2022,1,INSITEL S.A.S.,13918,"0,16"
2021,2,A Y A RADIOCOMUNICACIONES S.A.S.,1622,"0,02"
2021,4,NANO TECNOLOGY S.A.S.,940,"0,01"
2022,1,INTRANET COMUNICACIONES Y SERVICIOS SAS,36,0
2021,4,COMUNICACIONES MARFE SOCIEDAD POR ACCIONES SIMPLIFICADA,313,0
2022,2,SERKOI SERVICIOS DE CONECTIVIDAD INALAMBRICA SAS,898,"0,01"
2021,2,FIBERNEXT S.A.S,27,0
2022,1,MEDIATEL TELECOMUNICACIONES SAS,493,"0,01"
2023,2,LEGON TELECOMUNICACIONES S.A.S.,25061,"0,28"
2022,2,JHS INTERNET S.A.S,955,"0,01"
2022,3,FABRIMETAL ARROYAVE S.A.S.,671,"0,01"
2021,3,UBIT NETWORKS S.A.S,206,0
2022,2,TECOLRADIO TECNOLOGIA COLOMBIANA DE RADIO COMUNICACIONES E.U.,147,0
2020,3,RADIOCOMUNICACIONES HALCONES DE LA SABANA SOCIEDAD POR ACCIONES SIMPLIFICADA,3,0
2021,2,PROMOTORA DE TELEVISION. INTERNET Y COMUNICACIONES SAS,2302,"0,02"
2022,2,TUNORTETV TELECOMUNICACIONES S.A.S,2887,"0,03"
2022,2,CABLEFUTURO TV S.A.S,986,"0,01"
2021,3,DEAN WISP SAS,35,0
2021,2,INZANET SAS,1792,"0,02"
2020,4,GC HOGAR.NET S.A.S.,303,0
2022,2,TURBOMAX TELECOMUNICACIONES S.A.S.,394,0
2021,4,TELCAB S.A.S,50,0
2021,3,TELEMATICS NETWORK SAS,941,"0,01"
2022,1,REDNET GROUP S.A.S,1752,"0,02"
2021,3,ENTRE RED CONECTANDO EXPERIENCIAS S.A.S,412,0
2021,4,INTER-LIND@ SAS,118,0
2023,2,HOME TV COMUNICACIONES S.A.S.,2686,"0,03"
2023,2,LA CORPORACION PRO ACODEMA,2727,"0,03"
2020,3,RADIOSAT ISP SAS,5,0
2023,2,H V TELEVISION S.A.S.,107603,"1,19"
2023,2,S&E INVERSIONES SAS,97,0
2021,2,WIFINET TELECOMUNICACIONES S.A.S,190,0
2022,1,FABRIMETAL ARROYAVE S.A.S.,637,"0,01"
2021,4,VERIZON COLOMBIA S.A. - VERIZON BUSINESS,22,0
2022,1,ANDINA COMUNICACIONES SAS,225,0
2022,3,SUSETELCO S.A.S,757,"0,01"
2022,1,REDES TV SAT S.A.S,493,"0,01"
2022,1,ATENEA TELECOMUNICACIONES S.A.S.,3852,"0,04"
2022,3,PUNTO-WAN S.A.S.,59,0
2022,3,TV COLOMBIA DIGITAL SAS,10083,"0,12"
2022,2,TEKCOM TECNOLOGIA Y COMUNICACIONES SAS,1070,"0,01"
2022,3,IO SUPPLY S.A.S.,384,0
2021,3,SERVIYA.NET S.A.S,747,"0,01"
2021,3,ALNET TELECOMUNICACIONES S.A.S,7,0
2022,2,VISION SATELITAL COMUNICACIONES S.A.S.,3626,"0,04"
2021,3,ASOCIACION TELEVISION DE SUPIA CALDAS,910,"0,01"
2022,3,MACRODESK COMUNICACIONES S.A.S,511,0
2022,2,LINK GROUP TELECOMUNICACIONES S.A.S,895,"0,01"
2022,2,IP RED LTDA.,1109,"0,01"
2020,4,ENIGMA IMCT SAS,1004,"0,02"
2022,2,INFRAESTRUCTURA Y SERVICIOS DE COLOMBIA SAS,5790,"0,06"
2022,3,ANTNET COMUNICACIONES S.A.S.,476,"0,01"
2021,1,ULTRANET CONEXIONES INAL�MBRICAS S.A.S.,1,0
2021,1,SYSTEMS AND COMMUNICATIONS S.A.S. - SYSCOM TECNOLOGIA S.A.S.,3101,"0,04"
2022,1,ASOCIACI�N COMUNITARIA ALFATV,74,0
2020,3,GC HOGAR.NET S.A.S.,286,0
2021,2,SERVISKYNET TELECOMUNICACIONES S.A.S.,86,0
2021,1,CONEXION WISP S.A.S,130,0
2020,4,FIBERTEC CONEXION S.A.S,353,0
2022,3,CF INGENIEROS S.A.S,1061,"0,02"
2022,3,FX ONLINE S.A.S,49,0
2020,3,TECNOSERVICOM S.A.S.,17,0
2022,2,SISTELME SAS,869,"0,01"
2021,4,VELONET S.A.S,9875,"0,12"
2021,1,TECNOFUTURO 25 S.A.S,5,0
2021,4,COMUNICACIONES SUR COLOMBIANA S.A.S,2763,"0,03"
2021,3,CARIBETECH S.A.S.,843,"0,01"
2021,2,FCF COMUNICACIONES S.A.S.,1190,"0,01"
2022,2,COTV@S TELECOMUNICACIONES S.A.S,42,0
2020,4,ASISTEC COMPUTADORES S.A.S,537,"0,01"
2022,3,AJ GLOBAL PROYECTOS NET S.A.S.,827,"0,01"
2023,2,IST INGENIERIA Y SOLUCIONES TECNOLOGICAS S.A.S,187,0
2021,3,SERVINET REDES Y SISTEMAS SAS ZOMAC,300,0
2021,3,WIRELESS COLOMBIA S.A.S.,2780,"0,03"
2020,3,"CONSTRUCCION, GESTION, VELOCIDAD Y ESTRATEGIAS DE TELECOMUNICACIONES S.A.S",165,0
2021,2,INFRAESTRUCTURA Y SERVICIOS DE COLOMBIA SAS,8018,"0,08"
2022,2,INVERSIONES Y COMUNICACIONES SATELITALES - INVERSAT S.A.S.,28,0
2021,1,REDES TV SAT S.A.S,175,0
2021,3,NETWORK-TICS SAS,170,0
2023,2,INTERCOL WISP S.A.S.,1853,"0,02"
2021,2,UHF COMUNICACIONES SAS,826,"0,01"
2022,1,INTERPROJECT COMUNICACIONES S.A.S.,69,0
2022,1,C A RADIOCOMUNICACIONES E U,267,0
2022,3,CORPORACION CIVICA ESTACION COMUNITARIA DE TELEVISION PERLA DEL TATAMA,633,"0,01"
2022,1,CIBER-NET-ALIDAD SAS,267,0
2023,2,SERVIREDES CALI SAS,278,0
2022,2,REDES OPERACIONES Y CONTROL S A S,646,"0,01"
2020,4,FIESTA TELECOMUNICACIONES SAS,19141,"0,25"
2020,4,CNC DEL MAR S.A.S E.S.P,86,0
2021,2,"SISTEMAS, TELECOMUNICACIONES & SEGURIDAD S.A.S",5,0
2021,1,EMPRESAS MUNICIPALES DE CALI EICE E.S.P,109525,"1,35"
2020,4,1NITEC S.A.S.,67,0
2021,3,COMSISTELCO S.A.S.,498,"0,01"
2022,3,AIM CONNECT SAS,29,0
2021,2,COLOMBIACOM SAS,2,0
2022,3,OPP TELECOMUNICACIONES S.A.S,3,0
2021,3,CANO&CANOS S.A.S,382,0
2021,1,ATENEA TELECOMUNICACIONES S.A.S.,2055,"0,03"
2022,3,FIBRANET SAS,865,"0,01"
2022,1,INTERNET ZAPATOCA SAS,283,0
2021,3,STRATEGIC TECHNOLOGICAL DE COLOMBIA LTDA,162,0
2022,2,"ATYCO - ASESORIAS, TECNOLOGIA Y COMUNICACIONES S.A.S",612,"0,01"
2023,2,FIBRA100 S.A.S.,1587,"0,02"
2023,2,ANS COMUNICACIONES LTDA,23,0
2023,2,GLOBICNET S.A.S,101,0
2021,3,FIBRANET SAS,652,"0,01"
2022,1,ASOCIACION COMUNITARIA PARABOLICA GRANADA,3209,"0,04"
2021,1,AJ GLOBAL PROYECTOS NET S.A.S.,548,"0,01"
2020,4,TUCABLE S.A.S.,1630,"0,02"
2021,1,IMB INGENIERIA EN REDES SAS,550,"0,01"
2021,1,WIFAO COLOMBIA S.A.S.,259,0
2022,1,TCKOMPU S.A.S.,1236,"0,01"
2022,3,YTV COMUNICACIONES S.A.S,476,"0,01"
2021,1,COMPUSEB SOLUTIONS SAS,849,"0,01"
2021,2,IP COMUNICACIONES Y TECNOLOGIA S.A.S,85,0
2022,1,REDES Y TELECOMUNICACIONES INGENIER�A SAS,222,0
2021,4,ASOCIACION  DE COPROPIETARIOS  DE LA ANTENA PARABOLICA  DE SAN GIL- ASOPARSA TELESANGIL,792,"0,01"
2021,1,TELENET DE COLOMBIA COMUNICACIONES SAS,35,0
2022,3,ASOCIACION COMUNITARIA DE TELEVISION POR CABLE ACOTV SIMIJACA,1004,"0,01"
2021,3,ECOCONEX S.A.S,37,0
2020,3,AIM CONNECT SAS,91,0
2021,1,UHF COMUNICACIONES SAS,795,"0,01"
2023,2,CAPIBARA COMUNICACIONES S.A.S,351,0
2023,2,SYSTEL COMUNICACIONES CARTAGO S.A.S.,3814,"0,04"
2021,4,SUSETELCO S.A.S,584,"0,01"
2021,4,QME V SOLUCIONES TECNOLOGICAS SAS,5,0
2022,1,MUNDOTIK S.A.S.,53,0
2020,4,INTERLANS S.A.S.,3722,"0,05"
2020,4,INTERNEXA S.A E.S.P.,283,0
2020,3,SISTELEC LTDA,302,0
2020,3,REDESMAS.NET S.A.S,507,"0,01"
2021,2,SOL CABLE VISION S. A. S. - E. S. P.,1805,"0,02"
2023,2,GENESIS DATA LTDA,473,0
2022,1,NEXO TELECOMUNICACIONES S.A.S.,12,0
2021,3,INFINITICS S.A.S.,1,0
2022,1,REDES DEL VALLE POR COLOMBIA S.A.S,62,0
2022,2,WISP INTEGRADORES S.A.S,464,"0,01"
2021,4,CODISERT S.A.,14934,"0,18"
2023,2,GLOBAL WEB1 S.A.S,603,"0,01"
2020,4,NATIONAL INTERDATA S.A.S.,100,0
2021,4,MEGACABLE TELECOMUNICACIONES S.A.S,45,0
2022,1,OK COMUNICACIONES SERVICIOS DE INGENIERIA Y REDES SAS,36,0
2021,1,IP COMUNICACIONES Y TECNOLOGIA S.A.S,80,0
2022,1,QUALITY NET JM S.A.S. ZOMAC,326,0
2021,2,APT TELECOMUNICACIONES,503,"0,01"
2021,2,PEDRO ALBERTO DELGADO REYES E.U.,409,0
2021,3,SPACE COMUNICACIONES S.A.S.,3612,"0,04"
2022,2,S&E INVERSIONES SAS,82,0
2021,2,CORPORACION DE COPROPIETARIOS DE LA SE�AL PARABOLICA DE ABEJORRAL COSPABE,1036,"0,01"
2021,1,DIGINORTE S.A.S.,3007,"0,04"
2022,2,C&C WIFI SAS,336,0
2021,4,BYC TECNOLOGIA Y SERVICIOS SAS,325,0
2022,1,GIG@RED TELECOMINICACIONES S.A.S,6,0
2022,2,TECNOSERVICOM S.A.S.,148,0
2020,3,MEDIATEL TELECOMUNICACIONES SAS,371,0
2020,4,ASOCIACION DE COPROPIETARIOS DE LA ANTENA PARABOLICA DE GACHANCIPA,430,"0,01"
2021,1,BITOL S.A.S,3452,"0,04"
2021,1,TV CABLE EL CENTRO SAS,181,0
2021,2,TUCABLE S.A.S.,3252,"0,04"
2020,3,TELECOMUNICACIONES INGENIER�A Y MERCADEO S.A.S.,1211,"0,01"
2020,4,TVCABLE EL VERGEL S.A.S.,410,"0,01"
2022,3,ID INTEGRACION DIGITAL SAS,201,0
2022,2,IMALLI COMUNICACIONES SAS,895,"0,01"
2021,2,CABLE YUMA SAS,590,"0,01"
2020,3,REGIONAL DE SERVICIOS DE TELECOMUNICACIONES ZOMAC S.A.S,697,"0,01"
2021,4,ISPA TELECOMUNICACIONES S.A.S,439,"0,01"
2022,2,U2RED S.A.S,64,0
2021,4,OSPIREDES S.A.S,497,"0,01"
2021,3,SPEED NET INTERNET AL ALCANCE DE TODOS S.A.S,956,"0,01"
2022,1,ASONET COLOMBIA LTDA,2752,"0,03"
2023,2,VIP SERVICIOS INTELIGENTES S.A.S,218,0
2023,2,ARDCLANET S.A.S,199,0
2023,2,TELECOMUNICACIONES TECNOPUNTO S.A.S. ZOMAC,15,0
2023,2,EASY NETWORK REDES Y TELECOMUNICACIONES SAS,2,0
2021,1,ENLAZAR COMUNICACIONES S.A.S,1050,"0,01"
2022,1,WILGOM TELECOMUNICACIONES SAS,478,"0,01"
2022,3,TECNO REDES MULTISERVICIO S.A.S,14,0
2022,3,SINERGY SOLUCIONES INTEGRALES S.A.S,4919,"0,05"
2020,4,TV RED ABREGO S.A.S,855,"0,01"
2022,3,NATIONAL INTERDATA S.A.S.,100,0
2022,1,LEOWISP SAS,48,0
2021,2,INTERNEXA S.A E.S.P.,183,0
2022,3,CAQUEZA TV Y TELECOMUNICACIONES SAS,324,0
2021,3,H V TELEVISION S.A.S.,88321,"1,06"
2020,4,MEGARED DE COLOMBIA SAS,137,0
2022,2,ORIENTE TELECOMUNICACIONES DE COLOMBIA SOCIEDAD POR ACCIONES SIMPLIFICADA,379,0
2022,3,GLOBALNET INGENIERIA SAS,904,"0,01"
2021,4,WIFFITEL TELECOMUNICACIONES SAS,400,0
2022,3,TIKNETWORKS SAS,108,0
2022,2,WIRELESS COMMUNICATIONS COLOMBIA S.A.S. - WIRLCOMM S.A.S.,348,0
2021,4,JASTANET SAS,1344,"0,02"
2022,3,SOLUCIONES & COMUNICACIONES TICS SAS,419,0
2021,3,GLOBAL WEB1 S.A.S,434,"0,01"
2021,1,EMPRESA DE TELECOMUNICACIONES DE PALMIRA ETP S.A.S.,459,"0,01"
2021,4,INTERPLUS TELECOMUNICACIONES SAS,1350,"0,02"
2022,1,CONECTANDO ANDO SAS,137,0
2022,3,MEGA FIBRA SAS,336,0
2022,3,NANO TECNOLOGY S.A.S.,1052,"0,01"
2021,4,SUPERREDES SAS,12607,"0,15"
2022,1,RASER TELECOMUNICACIONES S.A.S.,311,0
2022,2,WISP SUCRE S.A.S.,175,0
2021,2,CAFETEL TV SAS,873,"0,01"
2022,3,TELECOMUNICACIONES DEL SAN JORGE Y LA MOJANA SAS,924,"0,01"
2022,3,TCKOMPU S.A.S.,298,0
2020,4,TV GAITAN TELECOMUNICACIONES S.A.S,516,"0,01"
2022,2,CONECTATE CALI S.A.S,58,0
2021,1,RURALINK S.A.S,26190,"0,32"
2021,3,CYBERNET INTERNET RURAL S.A.S.,39,0
2022,3,MEGACABLE TELECOMUNICACIONES S.A.S,554,"0,01"
2022,2,ASOCIACION DE TELEVISION TELEBOYACA,1073,"0,01"
2021,4,ONEPLUS ELECTRONICA SOFTWARE Y TELECOMUNICACIONES SAS,112,0
2020,4,VILLAWEB TELECOMUNICACIONES SAS,72,0
2023,2,NOVA TELECOMUNICACIONES S. A. S.,793,"0,01"
2021,3,JERSAL TELECOMUNICACIONES S.A.S,44,0
2021,1,CABLE IPIALES SUR Y ASOCIADOS,243,0
2023,2,GC HOGAR.NET S.A.S.,106,0
2020,4,DIGITVNET S.A.S,1769,"0,03"
2023,1,TSG THE IT EXPERTS SAS,51450,"0,57"
2023,2,AROS COMUNICACIONES LIMITADA,1492,"0,02"
2020,3,WIFINET TELECOMUNICACIONES S.A.S,103,0
2020,3,COLOMBIATEL TELECOMUNICACIONES S.A.S.,3860,"0,05"
2021,1,COOPERATIVA MULTIACTIVA DE BORRERO AYERBE,458,"0,01"
2022,1,REAL INNOVACION EN EL DESARROLLO TECNICO BARRANCABERMEJA SANTANDER S.A.S,68,0
2022,2,INTERED COLOMBIA S.A.S,600,"0,01"
2020,3,NOVANET DIGITAL S.A.S,13,0
2022,3,TERAWI S.A.S,35,0
2022,3,SMART INVERSIONES & CONSTRUCCIONES INTELIGENTES,1131,"0,01"
2022,3,MARTZFIBRA S.A.S,615,"0,01"
2021,3,RED PLANET TELECOMUNICACIONES SAS,1920,"0,02"
2022,2,DISTRICABLES LTDA,403,0
2022,1,GESTIONAR COMUNICACIONES S.A.S.,5,0
2020,3,REDES INTEGRALES DE TELECOMUNICACIONES AYG SAS,707,"0,01"
2023,2,CONEXION TOTAL DE OCCIDENTE S.A.S,992,"0,01"
2021,2,COMPLEXCOM LTDA,270,0
2020,4,TEXEL GROUP S.A.S.,9,0
2022,3,E-GPON TELECOMUNICACIONES S.A.S.,159,0
2022,2,ELITE ON LINE SAS,166,0
2021,4,ENLAZAR COMUNICACIONES S.A.S,1159,"0,01"
2022,1,A Y A RADIOCOMUNICACIONES S.A.S.,1832,"0,02"
2021,4,CAFENET COMUNICACIONES S.A. CAFENET S.A.,668,"0,01"
2023,2,MOVETV S.A.S.,213,0
2023,2,AJFIBER.NET S.A.S.,473,"0,01"
2023,2,JAG COMUNICA SAS,20,0
2023,2,ORBIMAX S.A.S,95,0
2023,2,CONEXIONES TECNOLOGICAS Y COMUNICACION SAS,17782,"0,22"
2021,1,COMUNICACIONES SUR COLOMBIANA S.A.S,2848,"0,03"
2022,3,ZABUD NET S.A.S.,306,0
2022,3,FACIL COMUNICACIONES SAS,325,0
2020,3,ANS COMUNICACIONES LTDA,15,0
2021,1,STRATEGIC TECHNOLOGICAL DE COLOMBIA LTDA,207,0
2021,3,EMPRESA DE TELECOMUNICACIONES DE PALMIRA ETP S.A.S.,505,"0,01"
2022,2,NAVEGAMAS TELECOMUNICACIONES S.A.S.,172,0
2020,3,FIBERCOM TV S.A.S,1266,"0,02"
2021,1,SERVIYA.NET S.A.S,760,"0,01"
2022,3,COMPUNETWORK RENTING S.A.S,26,0
2022,3,ALK NET LTDA,2455,"0,03"
2023,2,FIBERNET ISP ZOMAC SAS,545,"0,01"
2022,3,SARDINATA NETWORKS SAS,198,0
2021,2,CORPORACION DE TELECOMUNICACIONES MARIALABAJA,1029,"0,01"
2021,2,WG COMUNICACIONES SAS,1077,"0,01"
2021,2,WIFI ALTERNATIVO VALLE S.A.S,161,0
2022,2,REDECONES DE OCCIDENTE S.A.S.,23,0
2021,3,INVERSIONES GERIOS S.A.S.,488,"0,01"
2021,1,AJFIBER.NET S.A.S.,120,0
2023,2,TELFLY S.A.S,141,0
2020,4,ALTITUD STUDIOS S A S,647,"0,01"
2022,3,COOPERATIVA DE SERVICIOS PUBLICOS SONSON LTDA SERVICOOPS E.S.P.,1163,"0,01"
2022,3,S&E INVERSIONES SAS,83,0
2021,2,FUNDACION VISION 20/20 COLOMBIA,77,0
2021,3,U2RED S.A.S,53,0
2021,2,LINK GROUP TELECOMUNICACIONES S.A.S,1158,"0,01"
2021,3,ANDITEL S.A.S,20,0
2022,1,MEG@NET TVCOMUNICACIONES S.A.S,868,"0,01"
2023,2,MORA COMUNICACIONES SAS,1,0
2022,1,TELENET DIGITAL S.A.S.,1041,"0,01"
2022,3,QUALITY NET JM S.A.S. ZOMAC,1278,"0,01"
2023,2,REDES INNOVACION Y CONECTIVIDAD S.A.S,422,0
2021,1,SERVICIOS Y SOLUCIONES TV S.A.S.,247,0
2022,1,SERVISYSTEN SAS,2116,"0,02"
2021,1,SERVICIOS PROFESIONALES WICOM S.A.S,2057,"0,03"
2022,2,TV&M�S S.A.S,5456,"0,06"
2023,2,CNC DEL MAR S.A.S E.S.P,1120,"0,01"
2021,4,CABLENET PLUS S.A.S. ZOMAC,1565,"0,02"
2021,1,CORPORACION CIVICA ESTACION COMUNITARIA DE TELEVISION PERLA DEL TATAMA,414,"0,01"
2022,2,REDES INTEGRALES DE TELECOMUNICACIONES AYG SAS,3740,"0,04"
2023,2,TELEPUEBLORRICO S.A.S.,407,0
2022,3,TV ISLA LTDA,2256,"0,03"
2021,1,KIRA ISP S.A.S.,418,0
2022,3,T&T TECNOLOGIAS S.A.S ZOMAC,215,0
2022,2,SERVIRED SYJ S.A.S,286,0
2021,3,TURBO REDES TELECOMUNICACIONES S.A.S.,1499,"0,02"
2022,2,CORPORACI�N GUANEVISION T.V.,160,0
2020,4,HUGHES DE COLOMBIA S.A.S.,26683,"0,33"
2020,4,PRODITEL SAS,160,0
2022,3,SERVICIOS Y SOLUCIONES TV S.A.S.,492,"0,01"
2023,2,ANTELNET COMUNICACIONES S.A.S.,300,0
2022,1,HOLA WE DIGITAL S.A.S,643,"0,01"
2023,2,TIRIAN TELECOMUNICACIONES S.A.S.,2015,"0,03"
2020,3,TUCABLE S.A.S.,904,"0,01"
2022,1,DIGITVNET S.A.S,977,"0,01"
2021,4,TECOLRADIO TECNOLOGIA COLOMBIANA DE RADIO COMUNICACIONES E.U.,154,0
2021,3,COMUNICACIONES S & H FIBER LINK S.A.S.,77,0
2022,2,ASOCIACION ANTENA PARABOLICA AMAGA,719,"0,01"
2020,3,CARIBETECH S.A.S.,281,0
2021,4,FX ONLINE S.A.S,49,0
2021,4,SKYNET DE COLOMBIA S.A.S. E.S.P,854,"0,01"
2021,3,BETEL SOLUCIONES S.A.S.,4635,"0,06"
2022,2,SYK SOLUCIONES SAS,1050,"0,01"
2022,3,CAFETEL TV SAS,1086,"0,01"
2022,1,ATLAS NETWORK SAS,209,0
2021,1,IFX NETWORKS COLOMBIA S.A.S.,1753,"0,01"
2021,4,EMPRESAS MUNICIPALES DE CALI EICE E.S.P,100394,"1,19"
2022,2,TELCAD DIGITAL TV COMUNICACIONES SAS,237,0
2020,3,CABLENETBAG S.A.S,988,"0,01"
2023,2,ASOCIACION  DE COPROPIETARIOS  DE LA ANTENA PARABOLICA  DE SAN GIL- ASOPARSA TELESANGIL,842,"0,01"
2020,3,OPTILINK SAS,440,"0,01"
2022,4,FIBRA100 S.A.S.,1535,"0,02"
2020,3,CABLE YUMA SAS,413,"0,01"
2021,2,NEXO TELECOMUNICACIONES S.A.S.,11,0
2022,3,REDES TV SAT S.A.S,1536,"0,02"
2020,3,IO SUPPLY S.A.S.,107,0
2022,2,UHF COMUNICACIONES SAS,1238,"0,01"
2022,2,MEGAHER S.A.S,24,0
2022,2,WIFIMAX NETWORK S.A.S,154,0
2021,2,ASOCIACION SAMANIEGUENSE DE TELEVISION POR CABLE ASOTVCABLE,139,0
2021,4,EASYNET GROUP S.A.S,243,0
2022,3,SISTEMAS COMPUTARIZADOS DEL HUILA S.A.S.,648,"0,01"
2022,2,BARULE TELECOMUNICACIONES S.A.S.,362,0
2022,3,INTER FIBRA SAS E.S.P.,575,"0,01"
2020,4,GRUPO BELCOM DE COLOMBIA S A S,220,0
2020,3,EMPRESA DE TECNOLOG�A Y COMUNICACIONES 7 S.A.S ZOMAC,8,0
2021,3,ASOCIACI�N COMUNITARIA ALFATV,183,0
2022,3,INTER-LIND@ SAS,155,0
2020,3,INALREDES SAS,852,"0,01"
2021,4,PENTAS NETWORKS SAS,305,0
2021,2,COLOMBIATEL TELECOMUNICACIONES S.A.S.,4837,"0,06"
2021,4,SERVICIOS PROFESIONALES WICOM S.A.S,2731,"0,03"
2021,3,REDES INTEGRALES DE TELECOMUNICACIONES AYG SAS,2338,"0,03"
2022,2,INTERLOOP S.A.S,348,0
2020,4,LOGYCABLE S.A.S.,444,"0,01"
2022,1,TIENDAS TECNOL�GICAS MEGARED S.A.S ZOMAC,177,0
2021,2,SOLUCIONES & COMUNICACIONES TICS SAS,419,"0,01"
2021,1,INGETTEL LTDA,88,0
2021,4,MEGARED DE COLOMBIA SAS,240,0
2021,4,ELEMEING S.A.S,647,"0,01"
2020,4,TUNORTETV TELECOMUNICACIONES S.A.S,1886,"0,02"
2022,3,SERVIRED SYJ S.A.S,258,0
2022,1,CONVERGENCIA DIGITAL S.A.S.,143,0
2022,2,TELEPROMTV SAS,1052,"0,01"
2021,4,WIMCO INTERNET COLOMBIA SAS,195,0
2020,4,MAZCSYSTEM COMUNICACIONES SAS,123,0
2020,4,INTERNET Y TELECOMUNICACIONES DE COLOMBIA S.A.S.,861,"0,01"
2021,2,DI. REDES Y COMUNICACIONES S.A.S,108,0
2021,3,ASIS OBRAS Y SERVICIOS S.A.S,155,0
2022,2,ACERONETTV SOCIEDAD POR ACCIONES SIMPLIFICADA,184,0
2023,2,COVINET INGENIERIA SAS,456,"0,01"
2022,1,TV GAITAN TELECOMUNICACIONES S.A.S,858,"0,01"
2022,1,EASY NETWORK REDES Y TELECOMUNICACIONES SAS,14,0
2022,1,GENIONET TELECOMUNICACIONES SAS,3049,"0,03"
2021,4,GRUPO UNO TELECOMUNICACIONES SAS,4799,"0,05"
2021,1,718 TRADING CO SAS,8,0
2023,2,A&G MUNDO EN LINEA SAS,306,0
2021,4,EMPRESA DE SERVICIOS INALAMBRICOS Y TELECOMUNICACIONES - EMSITEL LTDA.,734,"0,01"
2022,1,TURBOMAX TELECOMUNICACIONES S.A.S.,391,0
2022,1,COLOMBIA NET DE OCCIDENTE S.A.S.,585,"0,01"
2021,1,C & B TELECOMUNICACIONES SAS,90,0
2022,2,VALLE TELECOMUNICACIONES SAS,840,"0,01"
2022,3,LOGYCABLE S.A.S.,529,"0,01"
2020,4,ASOCIACION DE TELEVISION TELEBOYACA,3320,"0,04"
2022,1,MEGASTORE GROUP TELECOMUNICACIONES SAS,457,"0,01"
2022,1,URBAN COMUNICACIONES S.A.S,10,0
2020,3,SUMINISTRO LA SIERRA S.A.S,51,0
2022,3,NETWORKS INTERCONNECTED BY EXPERTS COMUNICACIONES S.A.S,1081,"0,01"
2023,2,SISTEMAS Y TELECOMUNICACIONES DEL CARIBE S.A.S,191,0
2022,2,HYH COMUNICACIONES S.A.S,18,0
2022,3,CENTURYLINK COLOMBIA S.A.,2310,"0,01"
2020,4,YTV COMUNICACIONES S.A.S,81,0
2021,1,SPEED NET INTERNET AL ALCANCE DE TODOS S.A.S,787,"0,01"
2021,4,SANEST SAS,172,0
2022,1,TURBO REDES TELECOMUNICACIONES S.A.S.,961,"0,01"
2023,2,TELEMATICA LTDA,6,0
2023,2,CONNECT TELECOMUNICACIONES SAS,809,"0,01"
2021,1,SOCIEDAD GOMEZ TORRES Y ALVAREZ ARENAS COMPA�IA LIMITADA,941,"0,01"
2023,2,TELECOMUNICACIONES FACILRED FJM S.A.S. ZOMAC,518,"0,01"
2023,2,NETTWINS S.A.S.,72,0
2023,2,MUNDO + S.A.S,7463,"0,08"
2023,2,LINK EXPRESS.NET S.A.S.,327,0
2022,3,UNICABLE H.D. SAS,8678,"0,1"
2022,3,MIKROTECK S.A.S.,293,0
2021,4,NATIONAL INTERDATA S.A.S.,103,0
2021,2,TIRIAN TELECOMUNICACIONES S.A.S.,6560,"0,08"
2022,3,TICLINE S.A.S.,11,0
2022,1,CONEXION R&G S.A.S.,403,0
2022,3,RTC COMUNICACIONES S.A.S,23,0
2020,3,PANDORA SOLUCIONES INFORMATICAS Y WIRELESS W.I.S.P S.A.S.,396,"0,01"
2020,4,MEDIAWIRE TELECOMUNICACIONES S.A.S,890,"0,01"
2021,1,CABLENET DEL SUR TELECOMUNICACIONES SAS,460,"0,01"
2020,4,REALTIC SOLUTION S.A.S.,78,0
2021,3,SITELINKS SAS,512,0
2022,3,WEBNEXG S.A.S,11,0
2021,2,ADN SYSTEM COMUNICACIONES SAS,307,0
2020,3,QUALITY NET JM S.A.S. ZOMAC,259,0
2021,4,TOTAL BAND COMUNICACIONES S.A.S,517,"0,01"
2021,2,EVERNET S.A.S.,5161,"0,06"
2021,3,CORPORACION DE TELECOMUNICACIONES MARIALABAJA,1153,"0,01"
2021,4,INTECOM TELECOMUNICACIONES S.A.S,39,0
2021,4,SYK SOLUCIONES SAS,1016,"0,01"
2021,4,CORPORACION CIVICA PROGRESAR,729,"0,01"
2021,2,LKS SOLUCIONES INFORMATICAS S.A.S,416,"0,01"
2020,3,RADIO FRECUENCIA COMUNICACIONES S A S,530,"0,01"
2022,2,ISPA TELECOMUNICACIONES S.A.S,1596,"0,02"
2021,1,REALTIC SOLUTION S.A.S.,84,0
